timestamp,open,high,low,close,volume
2025-06-12 11:57:00,106992.89,106992.9,106930.0,106930.01,18.67477
2025-06-12 11:58:00,106930.01,106930.02,106874.47,106892.59,24.11779
2025-06-12 11:59:00,106892.59,106904.25,106892.58,106900.95,11.4077
2025-06-12 12:00:00,106900.95,106967.39,106900.95,106967.39,15.68496
2025-06-12 12:01:00,106967.39,107025.1,106951.05,107003.86,24.96287
2025-06-12 12:02:00,107003.86,107003.86,106971.87,106971.88,6.65628
2025-06-12 12:03:00,106971.87,107025.1,106971.87,107025.1,5.47515
2025-06-12 12:04:00,107025.1,107035.65,107007.38,107007.89,8.56177
2025-06-12 12:05:00,107007.9,107016.75,106981.72,106981.73,6.32993
2025-06-12 12:06:00,106981.73,106986.66,106952.51,106979.4,8.04338
2025-06-12 12:07:00,106979.4,106979.4,106940.0,106940.0,3.64299
2025-06-12 12:08:00,106940.01,106951.05,106940.0,106941.46,3.72575
2025-06-12 12:09:00,106941.46,106941.46,106870.0,106891.99,57.38217
2025-06-12 12:10:00,106891.99,106926.85,106891.99,106917.75,13.38037
2025-06-12 12:11:00,106917.76,106917.76,106900.0,106900.0,5.3959
2025-06-12 12:12:00,106900.01,106900.01,106880.34,106889.56,13.08916
2025-06-12 12:13:00,106889.56,106889.56,106880.0,106880.0,6.42859
2025-06-12 12:14:00,106880.0,106945.0,106880.0,106916.66,8.71638
2025-06-12 12:15:00,106916.66,106938.16,106897.45,106929.65,9.84948
2025-06-12 12:16:00,106929.64,106932.6,106929.64,106932.59,2.79563
2025-06-12 12:17:00,106932.59,106946.12,106932.59,106944.46,4.91656
2025-06-12 12:18:00,106944.46,107007.89,106944.45,106950.92,9.31232
2025-06-12 12:19:00,106950.91,106959.9,106950.91,106955.57,9.86318
2025-06-12 12:20:00,106955.56,106955.57,106904.3,106904.31,10.56824
2025-06-12 12:21:00,106904.31,106942.5,106904.3,106936.8,10.35556
2025-06-12 12:22:00,106936.8,106990.24,106936.8,106990.24,6.322
2025-06-12 12:23:00,106990.23,107016.74,106990.23,107016.73,12.43919
2025-06-12 12:24:00,107016.74,107016.74,106976.0,106976.0,9.12295
