timestamp,open,high,low,close,volume
2025-06-12 11:56:00,2.2264,2.2269,2.2262,2.2262,14045.6
2025-06-12 11:57:00,2.2261,2.2261,2.2248,2.2255,44432.8
2025-06-12 11:58:00,2.2254,2.2255,2.2245,2.2248,41617.7
2025-06-12 11:59:00,2.2248,2.2255,2.2244,2.2255,22842.6
2025-06-12 12:00:00,2.2255,2.2262,2.2252,2.2254,84197.3
2025-06-12 12:01:00,2.2253,2.2267,2.2245,2.2265,129169.0
2025-06-12 12:02:00,2.2265,2.2278,2.2265,2.2278,49555.8
2025-06-12 12:03:00,2.2278,2.2289,2.2277,2.2285,27255.4
2025-06-12 12:04:00,2.2286,2.2295,2.2279,2.228,39639.5
2025-06-12 12:05:00,2.228,2.228,2.2268,2.2268,26930.5
2025-06-12 12:06:00,2.2269,2.2282,2.2255,2.2277,32870.3
2025-06-12 12:07:00,2.2276,2.2277,2.2258,2.2259,23097.6
2025-06-12 12:08:00,2.2259,2.2262,2.2251,2.2251,35468.9
2025-06-12 12:09:00,2.2251,2.2251,2.2213,2.2225,177108.3
2025-06-12 12:10:00,2.2226,2.2239,2.2222,2.223,37999.7
2025-06-12 12:11:00,2.223,2.2243,2.2229,2.2236,36695.3
2025-06-12 12:12:00,2.2236,2.2239,2.223,2.2231,21540.3
2025-06-12 12:13:00,2.2231,2.2231,2.2211,2.222,129718.2
2025-06-12 12:14:00,2.222,2.2237,2.222,2.2227,43857.3
2025-06-12 12:15:00,2.2227,2.2239,2.2217,2.2224,64527.0
2025-06-12 12:16:00,2.2223,2.2239,2.2223,2.2238,41495.2
2025-06-12 12:17:00,2.2238,2.2249,2.2235,2.2238,33365.6
2025-06-12 12:18:00,2.2238,2.2259,2.2238,2.2245,45953.2
2025-06-12 12:19:00,2.2245,2.2257,2.224,2.2248,55229.7
2025-06-12 12:20:00,2.2247,2.2252,2.2242,2.2242,53196.2
2025-06-12 12:21:00,2.2242,2.2255,2.2242,2.2253,26191.9
2025-06-12 12:22:00,2.2253,2.2268,2.2252,2.2268,41298.9
2025-06-12 12:23:00,2.2269,2.228,2.2268,2.228,28812.5
2025-06-12 12:24:00,2.2279,2.2281,2.2271,2.2271,23877.1
2025-06-12 12:25:00,2.2272,2.2296,2.2272,2.229,176275.9
2025-06-12 12:26:00,2.229,2.229,2.2285,2.2287,52496.6
2025-06-12 12:27:00,2.2287,2.2287,2.2272,2.2274,86800.1
2025-06-12 12:28:00,2.2274,2.2277,2.2274,2.2276,32129.5
2025-06-12 12:29:00,2.2276,2.2279,2.2275,2.2278,21814.4
2025-06-12 12:30:00,2.2278,2.2312,2.2271,2.2312,244682.3
2025-06-12 12:31:00,2.2312,2.2332,2.2302,2.2331,64473.8
2025-06-12 12:32:00,2.2331,2.2338,2.2323,2.2336,87200.7
2025-06-12 12:33:00,2.2336,2.2336,2.2319,2.2325,49947.8
2025-06-12 12:34:00,2.2324,2.2337,2.2324,2.2331,53959.2
2025-06-12 12:35:00,2.2332,2.2338,2.2324,2.2335,45148.3
2025-06-12 12:36:00,2.2336,2.2371,2.2335,2.2368,243029.9
2025-06-12 12:37:00,2.2368,2.2368,2.2355,2.2361,59452.0
2025-06-12 12:38:00,2.2361,2.2365,2.2354,2.2358,44720.0
2025-06-12 12:39:00,2.2357,2.2367,2.2352,2.2365,59023.2
2025-06-12 12:40:00,2.2365,2.2378,2.2354,2.2358,114357.5
2025-06-12 12:41:00,2.2359,2.2376,2.2355,2.237,155434.9
2025-06-12 12:42:00,2.2369,2.2379,2.2359,2.236,57178.1
2025-06-12 12:43:00,2.236,2.2367,2.2357,2.2362,32022.3
